#datatype measurement,dateTime,long,tag,tag,tag
record,time,val,hostNode,clusterName
es-jvm_jvm_gc_collectors_old_collection_count,1719942590000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719942650000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719942710000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719942770000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719942830000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719942890000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719942950000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719943010000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719943070000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719943130000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719943190000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719943250000000000,1,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719943310000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719943370000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719943430000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719943490000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719943550000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719943610000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719943670000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719943730000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719943790000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719943850000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719943910000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719943970000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719944030000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719944090000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719944150000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719944210000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719944270000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719944330000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719944390000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719944450000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719944510000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719944570000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719944630000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719944690000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719944750000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719944810000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719944870000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719944930000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
